,basin,area,discharge,CaMgNaK_sil,CaMg_sil,source,CaMg_sil_norm,CaMgNaK_sil_norm
49,ABA,59311,11.360493,352000,4.4,HYBAM Amazon,0.000074,5.934819
50,ALT,457192,245.449753,944000.1,11.800001,HYBAM Amazon,0.000026,2.064778
51,ATA,190844,192.244781,1810000,22.625001,HYBAM Amazon,0.000119,9.484186
52,BEL,68195,119.158943,339000,4.2375,HYBAM Amazon,0.000062,4.971039
53,BOR,90505,113.604919,775000,9.6875,HYBAM Amazon,0.000107,8.563063
54,CAI,125466,114.804085,714000,8.925001,HYBAM Amazon,0.000071,5.690785
55,CAR,33485,14.989538,106000,1.325,HYBAM Amazon,0.00004,3.165597
56,CHA,68741,95.996162,763000,9.5375,HYBAM Amazon,0.000139,11.099635
57,DJI,3124,9.814203,92000.01,1.15,HYBAM Amazon,0.000368,29.449426
58,FOR,9234,30.042191,232000,2.9,HYBAM Amazon,0.000314,25.124541
59,GUA,30031,63.334743,158000,1.975,HYBAM Amazon,0.000066,5.26123
60,ITA,458072,384.04776,1130000,14.125,HYBAM Amazon,0.000031,2.466861
61,JHE,161749,189.278427,1377000,17.212501,HYBAM Amazon,0.000106,8.513191
62,LAB,226552,175.204041,499000,6.2375,HYBAM Amazon,0.000028,2.202585
63,MAN,1096431,1960.915649,8367001,104.587507,HYBAM Amazon,0.000095,7.631124
64,MIR,124231,176.781876,988000,12.35,HYBAM Amazon,0.000099,7.952927
65,NLO,4593,15.778461,97000,1.2125,HYBAM Amazon,0.000264,21.119095
66,NRO,9598,15.810019,78000,0.975,HYBAM Amazon,0.000102,8.126693
67,NYO,42850,67.437141,472000,5.9,HYBAM Amazon,0.000138,11.01517
68,PCH,44399,51.09066,119000,1.4875,HYBAM Amazon,0.000034,2.680241
69,PSI,166970,106.851738,622000,7.775,HYBAM Amazon,0.000047,3.72522
70,PUN,12687,22.216074,490000,6.125,HYBAM Amazon,0.000483,38.622212
71,PVI,7886,16.788282,85000,1.0625,HYBAM Amazon,0.000135,10.778595
72,RUR,69980,67.942055,511000,6.3875,HYBAM Amazon,0.000091,7.302087
73,SAN,23732,43.39077,309000,3.8625,HYBAM Amazon,0.000163,13.020395
74,SEB,5291,14.169059,167000,2.0875,HYBAM Amazon,0.000395,31.563034
75,SER,290174,529.493591,635000.1,7.937501,HYBAM Amazon,0.000027,2.188342
76,canete,5000,1.285,12500,0.15625,HYBAM Pacific,0.000031,2.5
77,ocona,15000,2.775,114000,1.425,HYBAM Pacific,0.000095,7.6
78,santa,10000,4.07,52000,0.65,HYBAM Pacific,0.000065,5.2
79,tumbes,4000,2.58,27200,0.34,HYBAM Pacific,0.000085,6.800001
80,esmeraldas,19000,27.044863,383800,4.7975,HYBAM Pacific,0.000253,20.2
